Neg_Control,trazodone,amitriptyline,fluoxetine,citalopram,paroxetine,venlafaxine,vilazodone,vortioxetine,sertraline,bupropion,mirtazapine,desvenlafaxine,doxepin,duloxetine,escitalopram,nortriptyline,any_anti_depressants
Fracture_of_bone,0.0010460376078708518,-0.00013869970112121273,-0.0001399537613223439,0.0011015787255095905,0.0015179374955970615,0.0012511446963835323,-0.0001293827274194678,-0.00013681823199805724,0.0004327420454823149,-0.0001401122325566873,0.001242783398088972,0.020182250516372874,-0.0001371378714183971,-0.00013952234637053137,0.00024146098870923282,-0.0001380094978140445,0.00012808050165107214
asthma,0.012990496441444063,0.03388599579070964,0.02287329376825849,0.016615052988215924,0.02636911208084882,0.02280727993988632,-0.01620908720075247,0.525813946841148,0.013192318415589262,0.01328401750826731,0.01189944048711135,0.9662602742759329,0.1149152294143336,0.02221489245466359,0.01044108004514162,0.016752831687074234,0.017505620699164857
chronic_kidney_disease,0.06379743611706612,0.04091632583698419,0.010855902363256504,0.02114967673580134,0.08896054553504915,0.029211624745692215,-0.054405257199705515,.01834695223356045,0.027610537418281778,0.004643577047967074,0.10296128398943981,.011499201164852805,0.19608460700134045,0.07928382700895363,0.0078100423245053,0.054140196244327275,0.038595625061930865
disorder_of_nail,0.00634919135377492,0.012263120121402654,0.009321460683203072,0.004580263674010856,0.016023846050517855,0.008527758172483463,-0.005431608450542117,.05954297126121386,0.005837504990811571,0.003721109247804425,0.009780090050250085,0.2643959018151051,0.13823214064807066,0.004767015110184678,0.004658790007835352,0.006316560497727842,0.005287825398976029
eczema,0.0011490684276060047,0.0076328661789333025,0.0023898624909130875,0.00026288538573012636,0.002557581860516081,0.0005511998135181396,-0.0003800813194634189,-0.0003797801219284011,0.0005740627821729027,0.0018541424228049107,0.001835410284851245,0.14548300285719476,0.008471262169191234,0.0012618210160543464,0.0014394267170064496,0.0019044404735853574,0.0004922885506586378
