Neg_Control,Trazodone,Amitriptyline,Fluoxetine,Citalopram,Paroxetine,Venlafaxine,Vilazodone,Vortioxetine,Sertraline,Bupropion,Mirtazapine,Desvenlafaxine,Doxepin,Duloxetine,Escitalopram,Nortriptyline,Any_anti_depressants
Fracture_of_bone,0.00030239797561369995,-0.00017896236749064768,-0.0001803218955594479,0.0001905918785703587,0.0002110223838517539,0.00018816952648016949,-0.00017871739832796626,-0.00017616168684031418,-6.221022801789381e-05,-0.00018127876318869537,0.0002484329106191346,0.0019134437027388163,-0.00017657642362184795,-0.00018096160670943718,-6.499317666647921e-05,-0.00017754285725560232,1.132734425278358e-05
Asthma,0.008524926716748094,0.012299982338030502,0.010936049565909291,0.006706754035476466,0.0060723651441729745,0.01110917928781312,-0.01664132913135392,0.04716859273273977,0.009034848457900006,0.008935737241002032,0.0021105000947534186,0.08693350947366794,0.012842500592014295,0.01482199807570393,0.006931402867956981,0.004157012631118502,0.014874473156005253
Chronic_kidney_disease,0.05674449078535975,0.011751462714918894,-0.004243326715854072,0.005831190842626018,0.015448120776855376,0.009156008003578407,-0.05493527801232705,0.0015991975545865222,0.019523912593514763,-0.0002586410186324645,0.07207088505099477,0.001360820721107121,0.028372725348892004,0.037277178081182125,-0.0012528330473202468,0.009393708612098052,0.03598517281759766
Disorder_of_nail,0.003333938435368086,0.004120265463528825,0.002528248530642057,0.0012674106043269046,0.0008364949170182195,0.0011208789236036734,-0.005760715416567377,0.007194285621362867,0.003547630554552857,0.0013258331705680215,0.0030577370970592413,0.026965394026735076,0.02310736041396758,0.002644438945856085,0.0008907790965552679,-0.00018716910273543558,0.004038268255299033
Eczema,0.00041026404116646084,0.0012490600908139908,4.019507788598067e-05,-0.00032251315487196683,0.0004917502743998464,-0.00014493844250726594,-0.0004562602179331984,-0.0004505276749098937,-5.969458547692998e-05,0.0006346219485840178,9.708528834970037e-05,0.009796113170502536,0.0005636672318708956,0.0003771618112792331,0.00019002286514773094,3.6853459353384975e-05,0.0002762032588716888
