Neg_Control,Trazodone,Amitriptyline,Fluoxetine,Citalopram,Paroxetine,Venlafaxine,Vilazodone,Vortioxetine,Sertraline,Bupropion,Mirtazapine,Desvenlafaxine,Doxepin,Duloxetine,Escitalopram,Nortriptyline,Any_anti_depressants
Fracture_of_bone,-8.143220909510428e-05,-0.00023209710724643353,-0.0002323536598573537,-0.00016597605937900345,-0.0002021288350794602,-0.0001849862595362942,-0.00023618800769315763,-0.00022687136202542617,-0.00020874907216796528,-0.00023627663275731985,-0.0001690412401246426,-0.00020359754901861282,-0.00022849402881645442,-0.00023436005398394348,-0.00020465539522090555,-0.00023055193157524694,-0.00010765995533900893
Asthma,0.004583717613995903,0.0037134443498842732,0.004196898630537432,0.0008348206048809852,-0.008933195370839033,0.0001569098332276449,-0.017101348946820732,-0.016985581722048688,0.0044991237920992706,0.004286607931666057,-0.005257128183771546,-0.01670042269263035,-0.015913154462925835,0.009382554656932555,0.0038745504090044684,-0.0037774689738486584,0.013187551596465164
Chronic_kidney_disease,0.04985660119618195,-0.00648343428076484,-0.012043795436709153,-0.004734927670729251,-0.010322380750912062,-0.0025633051766492114,-0.055833804076263746,-0.05541700217134891,0.013719977968493153,-0.006788582429477898,0.0549958220267729,-0.0554283676307581,-0.03869410743374494,0.025578898517262635,-0.007550282941800457,-0.008101901082445809,0.03316600991134091
Disorder_of_nail,0.0016272669935050706,-0.0008939733838746345,-0.0009632869615145348,-0.0011045815465298512,-0.004691746963718713,-0.002958656512663597,-0.006074893474696363,-0.0060226948630354125,0.0018316916213623204,-0.0014727216541414005,-0.001047839463919934,-0.00603612720658448,-0.0058156237384215295,-0.00016642724507008263,-0.0019560885441907766,-0.0033918835923861315,0.003162157104473184
Eczema,-6.92412624660721e-05,-0.0001948710608521808,-0.0004793562553749743,-0.0004989117900358668,-0.000456057660321553,-0.00047774614348637553,-0.0005143985886829557,-0.0005100003045808725,-0.0004081841616064871,-8.042961580041383e-05,-0.0004694919007179529,-0.000495226266201786,-0.0004936616414833457,-0.00033415503308715513,-0.00032074007879302535,-0.0004865557234415542,3.725892838794444e-05
